"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"1","Konrad Adenauer","/wiki/Konrad_Adenauer","CDU","54,9",1,0
"2","Willi Agatz","/wiki/Willi_Agatz","KPD",NA,1,0
"3","Adolf Ahrens","/wiki/Adolf_Ahrens_(Kapit%C3%A4n)","DP",NA,1,1
"4","Johannes Albers","/wiki/Johannes_Albers","CDU","43,4",1,0
"5","Luise Albertz","/wiki/Luise_Albertz","SPD",NA,1,0
"6","Lisa Albrecht","/wiki/Lisa_Albrecht","SPD",NA,1,0
"7","Jakob Altmaier","/wiki/Jakob_Altmaier","SPD","31,9",1,0
"8","Rudolf Amelunxen","/wiki/Rudolf_Amelunxen","Zentrum",NA,1,0
"9","Maria Ansorge","/wiki/Maria_Ansorge","SPD",NA,1,0
"10","Anton von Aretin","/wiki/Anton_von_Aretin_(Politiker)","BP","36,7",1,0
"11","Josef Arndgen","/wiki/Josef_Arndgen","CDU","38,6",1,0
"12","Adolf Arndt","/wiki/Adolf_Arndt","SPD","33,8",1,0
"13","Otto Arnholz","/wiki/Otto_Arnholz","SPD","31,3",1,0
"14","Thea Arnold","/wiki/Thea_Arnold","Zentrum",NA,1,0
"15","Karl Atzenroth","/wiki/Karl_Atzenroth","FDP",NA,1,0
"16","Hermann Aumer","/wiki/Hermann_Aumer_(Politiker)","BP","29,8",1,0
"17","Fritz Baade","/wiki/Fritz_Baade","SPD",NA,1,0
"18","Wilhelm Bahlburg","/wiki/Wilhelm_Bahlburg","DP","29,7",1,0
"19","Siegfried Bärsch","/wiki/Siegfried_B%C3%A4rsch","SPD","36,1",1,0
"20","Walter Bartram","/wiki/Walter_Bartram","CDU","35,1",1,1
"21","Friedrich Bauereisen","/wiki/Friedrich_Bauereisen","CSU","34,9",1,0
"22","Bernhard Bauknecht","/wiki/Bernhard_Bauknecht","CDU","82,0",1,0
"23","Joseph Baumgartner","/wiki/Joseph_Baumgartner","BP",NA,1,0
"24","Georg Baur","/wiki/Georg_Baur_(Politiker,_1895)","CDU","26,9",1,0
"25","Valentin Baur","/wiki/Valentin_Baur","SPD",NA,1,0
"26","Paul Bausch","/wiki/Paul_Bausch","CDU","29,8",1,0
"27","Helmut Bazille","/wiki/Helmut_Bazille","SPD",NA,1,0
"28","Josef Becker","/wiki/Josef_Becker_(Politiker,_1905)","CDU","46,6",1,0
"29","Max Becker","/wiki/Max_Becker_(Politiker)","FDP",NA,1,0
"30","Arno Behrisch","/wiki/Arno_Behrisch","SPD","35,0",1,0
"31","Karl Bergmann","/wiki/Karl_Bergmann_(Politiker)","SPD","38,9",1,0
"32","Ludwig Bergsträsser","/wiki/Ludwig_Bergstr%C3%A4sser","SPD","38,8",1,0
"33","August Berlin","/wiki/August_Berlin_(Politiker)","SPD","33,9",1,0
"34","Helmut Bertram","/wiki/Helmut_Bertram","Zentrum",NA,1,0
"35","Anton Besold","/wiki/Anton_Besold","BP","32,5",1,0
"36","Emil Bettgenhäuser","/wiki/Emil_Bettgenh%C3%A4user","SPD",NA,1,0
"37","Anna Maria Bieganowski","/wiki/Anna_Maria_Bieganowski","WAV",NA,1,0
"38","Karl Bielig","/wiki/Karl_Bielig","SPD","35,2",1,0
"39","Willi Birkelbach","/wiki/Willi_Birkelbach","SPD","39,3",1,0
"40","Peter Blachstein","/wiki/Peter_Blachstein","SPD","39,9",1,0
"41","Martin Blank","/wiki/Martin_Blank","FDP",NA,1,0
"42","Theodor Blank","/wiki/Theodor_Blank","CDU","41,8",1,0
"43","Paul Bleiß","/wiki/Paul_Blei%C3%9F","SPD","41,8",1,0
"44","Franz Blücher","/wiki/Franz_Bl%C3%BCcher","FDP",NA,1,0
"45","Hans Bodensteiner","/wiki/Hans_Bodensteiner","CSU","35,7",1,0
"46","Johannes Böhm","/wiki/Johannes_B%C3%B6hm_(Politiker)","SPD","46,6",1,0
"47","Willy Brandt","/wiki/Willy_Brandt","SPD",NA,1,0
"48","Aenne Brauksiepe","/wiki/Aenne_Brauksiepe","CDU","42,2",1,0
"49","Heinrich von Brentano","/wiki/Heinrich_von_Brentano","CDU","35,3",1,0
"50","Wilhelm Brese","/wiki/Wilhelm_Brese","CDU",NA,1,1
"51","Hermann Brill","/wiki/Hermann_Brill","SPD","38,7",1,0
"52","Else Brökelschen","/wiki/Else_Br%C3%B6kelschen","CDU",NA,1,0
"53","Paul Bromme","/wiki/Paul_Bromme","SPD","35,8",1,0
"54","Josef Brönner","/wiki/Josef_Br%C3%B6nner","CDU","35,5",1,0
"55","Walter Brookmann","/wiki/Walter_Brookmann","CDU","52,9",1,0
"56","Eberhard Brünen","/wiki/Eberhard_Br%C3%BCnen","SPD","39,6",1,0
"57","Karl Brunner","/wiki/Karl_Brunner_(Politiker,_1905)","SPD",NA,1,0
"58","Gerd Bucerius","/wiki/Gerd_Bucerius","CDU","37,6",1,0
"59","Carl von Campe","/wiki/Carl_von_Campe","DP",NA,1,1
"60","Hermann Clausen","/wiki/Hermann_Clausen","SSW",NA,1,0
"61","Johann Cramer","/wiki/Johann_Cramer_(Politiker)","SPD","32,6",1,0
"62","Otto Dannebom","/wiki/Otto_Dannebom","SPD","44,8",1,0
"63","Robert Dannemann","/wiki/Robert_Dannemann","FDP","24,8",1,1
"64","Hugo Decker","/wiki/Hugo_Decker_(Politiker)","BP","30,4",1,0
"65","Johannes Degener","/wiki/Johannes_Degener","CDU",NA,1,0
"66","Thomas Dehler","/wiki/Thomas_Dehler","FDP",NA,1,0
"67","Gregor Determann","/wiki/Gregor_Determann","Zentrum",NA,1,0
"68","Anton Diel","/wiki/Anton_Diel","SPD",NA,1,0
"69","Maria Dietz","/wiki/Maria_Dietz","CDU",NA,1,0
"70","Hans Dirscherl","/wiki/Hans_Dirscherl","FDP",NA,1,0
"71","Clara Döhring","/wiki/Clara_D%C3%B6hring","SPD","29,3",1,0
"72","Anton Donhauser","/wiki/Anton_Donhauser","BP",NA,1,0
"73","Fritz Dorls","/wiki/Fritz_Dorls","DKP-DRP",NA,1,1
"74","August Dresbach","/wiki/August_Dresbach","CDU","37,0",1,0
"75","Anton Eberhard","/wiki/Anton_Eberhard","FDP",NA,1,0
"76","Heinrich Eckstein","/wiki/Heinrich_Eckstein","CDU","36,3",1,0
"77","Eduard Edert","/wiki/Eduard_Edert","independent","48,0",1,1
"78","Hermann Ehlers","/wiki/Hermann_Ehlers","CDU",NA,1,0
"79","Hermann Ehren","/wiki/Hermann_Ehren","CDU","55,5",1,0
"80","Willi Eichler","/wiki/Willi_Eichler","SPD",NA,1,0
"81","Josef Eichner","/wiki/Josef_Eichner","BP","23,4",1,0
